"Time","Cam Hue (N0 - OZ)","Cam Sat (N0 - OZ)","Cam Val (N0 - OZ)","Air Hum (N0 - OZ)","Air Temp (N0 - OZ)","Soil Hum (N0 - OZ)","Soil Temp (N0 - OZ)","Soil Nit (N0 - OZ)","Soil Pho (N0 - OZ)","Soil Pot (N0 - OZ)","Soil pH (N0 - OZ)","Soil EC (N0 - OZ)"
1720925400000,,,,,,,,,,,,
1720926000000,,,,,,,,,,,,
1720926600000,,,,,,,,,,,,
1720927200000,,,,,,,,,,,,
1720927800000,,,,,,,,,,,,
1720928400000,,,,,,,,,,,,
1720929000000,,,,,,,,,,,,
1720929600000,,,,,,,,,,,,
1720930200000,,,,,,,,,,,,
1720930800000,,,,,,,,,,,,
1720931400000,,,,,,,,,,,,
1720932000000,,,,,,,,,,,,
1720932600000,,,,,,,,,,,,
1720933200000,,,,,,,,,,,,
1720933800000,,,,,,,,,,,,
1720934400000,,,,,,,,,,,,
1720935000000,,,,,,,,,,,,
1720935600000,,,,,,,,,,,,
1720936200000,,,,,,,,,,,,
1720936800000,,,,,,,,,,,,
1720937400000,,,,,,,,,,,,
1720938000000,,,,,,,,,,,,
1720938600000,,,,,,,,,,,,
1720939200000,,,,,,,,,,,,
1720939800000,,,,,,,,,,,,
1720940400000,,,,,,,,,,,,
1720941000000,,,,,,,,,,,,
1720941600000,,,,,,,,,,,,
1720942200000,,,,,,,,,,,,
1720942800000,,,,,,,,,,,,
1720943400000,,,,,,,,,,,,
1720944000000,,,,,,,,,,,,
1720944600000,,,,,,,,,,,,
1720945200000,,,,,,,,,,,,
1720945800000,,,,,,,,,,,,
1720946400000,,,,,,,,,,,,
1720947000000,,,,,,,,,,,,
1720947600000,,,,,,,,,,,,
1720948200000,,,,,,,,,,,,
1720948800000,,,,,,,,,,,,
1720949400000,,,,,,,,,,,,
1720950000000,,,,,,,,,,,,
1720950600000,,,,,,,,,,,,
1720951200000,,,,,,,,,,,,
1720951800000,,,,,,,,,,,,
1720952400000,,,,,,,,,,,,
1720953000000,,,,,,,,,,,,
1720953600000,,,,,,,,,,,,
1720954200000,,,,,,,,,,,,
1720954800000,,,,,,,,,,,,
1720955400000,,,,,,,,,,,,
1720956000000,,,,,,,,,,,,
1720956600000,,,,,,,,,,,,
1720957200000,,,,,,,,,,,,
1720957800000,,,,,,,,,,,,
1720958400000,,,,,,,,,,,,
1720959000000,,,,,,,,,,,,
1720959600000,,,,,,,,,,,,
1720960200000,,,,,,,,,,,,
1720960800000,,,,,,,,,,,,
1720961400000,,,,,,,,,,,,
1720962000000,,,,,,,,,,,,
1720962600000,,,,,,,,,,,,
1720963200000,,,,,,,,,,,,
1720963800000,,,,,,,,,,,,
1720964400000,,,,,,,,,,,,
1720965000000,,,,,,,,,,,,
1720965600000,,,,,,,,,,,,
1720966200000,,,,,,,,,,,,
1720966800000,,,,,,,,,,,,
1720967400000,,,,,,,,,,,,
1720968000000,,,,,,,,,,,,
1720968600000,,,,,,,,,,,,
1720969200000,,,,,,,,,,,,
1720969800000,,,,,,,,,,,,
1720970400000,,,,,,,,,,,,
1720971000000,,,,,,,,,,,,
1720971600000,,,,,,,,,,,,
1720972200000,,,,,,,,,,,,
1720972800000,,,,,,,,,,,,
1720973400000,,,,,,,,,,,,
1720974000000,,,,,,,,,,,,
1720974600000,,,,,,,,,,,,
1720975200000,,,,,,,,,,,,
1720975800000,,,,,,,,,,,,
1720976400000,,,,,,,,,,,,
1720977000000,,,,,,,,,,,,
1720977600000,,,,,,,,,,,,
1720978200000,,,,,,,,,,,,
1720978800000,,,,,,,,,,,,
1720979400000,,,,,,,,,,,,
1720980000000,,,,,,,,,,,,
1720980600000,,,,,,,,,,,,
1720981200000,,,,,,,,,,,,
1720981800000,,,,,,,,,,,,
1720982400000,,,,,,,,,,,,
1720983000000,,,,,,,,,,,,
1720983600000,,,,,,,,,,,,
1720984200000,,,,,,,,,,,,
1720984800000,,,,,,,,,,,,
1720985400000,,,,,,,,,,,,
1720986000000,,,,,,,,,,,,
1720986600000,,,,,,,,,,,,
1720987200000,,,,,,,,,,,,
1720987800000,,,,,,,,,,,,
1720988400000,,,,,,,,,,,,
1720989000000,,,,,,,,,,,,
1720989600000,,,,,,,,,,,,
1720990200000,,,,,,,,,,,,
1720990800000,,,,,,,,,,,,
1720991400000,,,,,,,,,,,,
1720992000000,,,,,,,,,,,,
1720992600000,,,,,,,,,,,,
1720993200000,,,,,,,,,,,,
1720993800000,,,,,,,,,,,,
1720994400000,,,,,,,,,,,,
1720995000000,,,,,,,,,,,,
1720995600000,,,,,,,,,,,,
1720996200000,,,,,,,,,,,,
1720996800000,,,,,,,,,,,,
1720997400000,,,,,,,,,,,,
1720998000000,,,,,,,,,,,,
1720998600000,,,,,,,,,,,,
1720999200000,,,,,,,,,,,,
1720999800000,,,,,,,,,,,,
1721000400000,,,,,,,,,,,,
1721001000000,,,,,,,,,,,,
1721001600000,,,,,,,,,,,,
1721002200000,,,,,,,,,,,,
1721002800000,,,,,,,,,,,,
1721003400000,,,,,,,,,,,,
1721004000000,,,,,,,,,,,,
1721004600000,,,,,,,,,,,,
1721005200000,,,,,,,,,,,,
1721005800000,,,,,,,,,,,,
1721006400000,,,,,,,,,,,,
1721007000000,,,,,,,,,,,,
1721007600000,,,,,,,,,,,,
1721008200000,,,,,,,,,,,,
1721008800000,,,,,,,,,,,,
1721009400000,,,,,,,,,,,,
1721010000000,,,,,,,,,,,,
1721010600000,,,,,,,,,,,,
1721011200000,,,,,,,,,,,,
1721011800000,,,,,,,,,,,,
1721012400000,,,,,,,,,,,,
1721013000000,,,,,,,,,,,,
1721013600000,69,2,54,0,0,0,0,0,0,0,0,0
1721014200000,,,,,,,,,,,,
1721014800000,,,,,,,,,,,,
1721015400000,,,,,,,,,,,,
1721016000000,,,,,,,,,,,,
1721016600000,,,,,,,,,,,,
1721017200000,,,,,,,,,,,,
1721017800000,,,,,,,,,,,,
1721018400000,,,,,,,,,,,,
1721019000000,,,,,,,,,,,,
1721019600000,,,,,,,,,,,,
1721020200000,,,,,,,,,,,,
1721020800000,,,,,,,,,,,,
1721021400000,,,,,,,,,,,,
1721022000000,,,,,,,,,,,,
1721022600000,,,,,,,,,,,,
1721023200000,,,,,,,,,,,,
1721023800000,,,,,,,,,,,,
1721024400000,,,,,,,,,,,,
1721025000000,,,,,,,,,,,,
1721025600000,,,,,,,,,,,,
1721026200000,,,,,,,,,,,,
1721026800000,,,,,,,,,,,,
1721027400000,,,,,,,,,,,,
1721028000000,,,,,,,,,,,,
1721028600000,,,,,,,,,,,,
1721029200000,,,,,,,,,,,,
1721029800000,,,,,,,,,,,,
1721030400000,,,,,,,,,,,,
1721031000000,,,,,,,,,,,,
1721031600000,,,,,,,,,,,,
1721032200000,36,38,8,63.25,24.08,18.3,15.9,51,24.08,107,0.2,196
1721032800000,42,27,11,63.09,24.08,18.3,15.9,51,24.08,107,0.2,196
1721033400000,44,26,11,63.01,24.14,18.3,15.9,51,24.14,107,0.2,195
1721034000000,50,26,11,62.9,24.14,18.3,15.9,51,24.14,107,0.2,195
1721034600000,45,28,11,62.88,24.23,18.2,15.9,51,24.23,107,0.2,195
1721035200000,48,24,11,62.77,24.21,18.2,15.9,51,24.21,107,0.2,195
1721035800000,44,19,8,62.63,24.26,18.2,15.9,51,24.26,107,0.2,195
1721036400000,48,20,8,62.54,24.22,18.2,15.9,51,24.22,107,0.2,195
1721037000000,19,11,4,62.39,24.21,18.2,15.9,51,24.21,107,0.2,195
1721037600000,10,7,3,62.36,24.17,18.1,15.9,51,24.17,107,0.2,195
1721038200000,9,6,3,62.31,24.16,18.2,15.9,51,24.16,107,0.2,195
1721038800000,11,6,3,62.3,24.1,18.2,15.9,51,24.1,107,0.2,195
1721039400000,21,14,4,62.17,24.07,18.3,15.9,51,24.07,107,0.2,195
1721040000000,18,13,3,62.1,24.02,18.2,15.9,51,24.02,107,0.2,195
1721040600000,9,5,3,62.06,23.98,18.2,15.9,51,23.98,107,0.2,195
1721041200000,9,6,3,62.03,23.93,18.1,15.9,51,23.93,107,0.2,195
1721041800000,26,16,4,61.98,23.87,18.2,15.9,51,23.87,107,0.2,195
1721042400000,10,6,3,61.85,23.84,18.2,15.9,51,23.84,107,0.2,195
