"Time","Cam Hue (N2 - OZ)","Cam Sat (N2 - OZ)","Cam Val (N2 - OZ)","Air Hum (N2 - OZ)","Air Temp (N2 - OZ)","Soil Hum (N2 - OZ)","Soil Temp (N2 - OZ)","Soil Nit (N2 - OZ)","Soil Pho (N2 - OZ)","Soil Pot (N2 - OZ)","Soil pH (N2 - OZ)","Soil EC (N2 - OZ)"
1717636200000,,,,,,,,,,,,
1717636800000,,,,,,,,,,,,
1717637400000,,,,,,,,,,,,
1717638000000,,,,,,,,,,,,
1717638600000,,,,,,,,,,,,
1717639200000,,,,,,,,,,,,
1717639800000,,,,,,,,,,,,
1717640400000,,,,,,,,,,,,
1717641000000,,,,,,,,,,,,
1717641600000,,,,,,,,,,,,
1717642200000,,,,,,,,,,,,
1717642800000,,,,,,,,,,,,
1717643400000,,,,,,,,,,,,
1717644000000,,,,,,,,,,,,
1717644600000,,,,,,,,,,,,
1717645200000,,,,,,,,,,,,
1717645800000,,,,,,,,,,,,
1717646400000,,,,,,,,,,,,
1717647000000,,,,,,,,,,,,
1717647600000,,,,,,,,,,,,
1717648200000,,,,,,,,,,,,
1717648800000,,,,,,,,,,,,
1717649400000,,,,,,,,,,,,
1717650000000,,,,,,,,,,,,
1717650600000,,,,,,,,,,,,
1717651200000,,,,,,,,,,,,
1717651800000,,,,,,,,,,,,
1717652400000,,,,,,,,,,,,
1717653000000,,,,,,,,,,,,
1717653600000,,,,,,,,,,,,
1717654200000,,,,,,,,,,,,
1717654800000,,,,,,,,,,,,
1717655400000,,,,,,,,,,,,
1717656000000,,,,,,,,,,,,
1717656600000,,,,,,,,,,,,
1717657200000,,,,,,,,,,,,
1717657800000,,,,,,,,,,,,
1717658400000,,,,,,,,,,,,
1717659000000,,,,,,,,,,,,
1717659600000,,,,,,,,,,,,
1717660200000,,,,,,,,,,,,
1717660800000,,,,,,,,,,,,
1717661400000,,,,,,,,,,,,
1717662000000,,,,,,,,,,,,
1717662600000,,,,,,,,,,,,
1717663200000,,,,,,,,,,,,
1717663800000,,,,,,,,,,,,
1717664400000,,,,,,,,,,,,
1717665000000,,,,,,,,,,,,
1717665600000,,,,,,,,,,,,
1717666200000,,,,,,,,,,,,
1717666800000,,,,,,,,,,,,
1717667400000,,,,,,,,,,,,
1717668000000,,,,,,,,,,,,
1717668600000,,,,,,,,,,,,
1717669200000,,,,,,,,,,,,
1717669800000,,,,,,,,,,,,
