"Time","Cam Hue (N3 - NZ)","Cam Sat (N3 - NZ)","Cam Val (N3 - NZ)","Air Hum (N3 - NZ)","Air Temp (N3 - NZ)","Soil Hum (N3 - NZ)","Soil Temp (N3 - NZ)","Soil Nit (N3 - NZ)","Soil Pho (N3 - NZ)","Soil Pot (N3 - NZ)","Soil pH (N3 - NZ)","Soil EC (N3 - NZ)"
1719852600000,,,,,,,,,,,,
1719853200000,,,,,,,,,,,,
1719853800000,,,,,,,,,,,,
1719854400000,,,,,,,,,,,,
1719855000000,,,,,,,,,,,,
1719855600000,,,,,,,,,,,,
1719856200000,,,,,,,,,,,,
1719856800000,,,,,,,,,,,,
1719857400000,,,,,,,,,,,,
1719858000000,,,,,,,,,,,,
1719858600000,,,,,,,,,,,,
1719859200000,,,,,,,,,,,,
1719859800000,,,,,,,,,,,,
1719860400000,,,,,,,,,,,,
1719861000000,,,,,,,,,,,,
1719861600000,,,,,,,,,,,,
1719862200000,,,,,,,,,,,,
1719862800000,,,,,,,,,,,,
1719863400000,,,,,,,,,,,,
1719864000000,,,,,,,,,,,,
1719864600000,,,,,,,,,,,,
1719865200000,,,,,,,,,,,,
1719865800000,,,,,,,,,,,,
1719866400000,,,,,,,,,,,,
1719867000000,,,,,,,,,,,,
1719867600000,,,,,,,,,,,,
1719868200000,,,,,,,,,,,,
1719868800000,,,,,,,,,,,,
1719869400000,,,,,,,,,,,,
1719870000000,,,,,,,,,,,,
1719870600000,,,,,,,,,,,,
1719871200000,,,,,,,,,,,,
1719871800000,,,,,,,,,,,,
1719872400000,,,,,,,,,,,,
1719873000000,,,,,,,,,,,,
1719873600000,,,,,,,,,,,,
1719874200000,,,,,,,,,,,,
1719874800000,,,,,,,,,,,,
1719875400000,,,,,,,,,,,,
1719876000000,,,,,,,,,,,,
1719876600000,,,,,,,,,,,,
1719877200000,,,,,,,,,,,,
1719877800000,,,,,,,,,,,,
1719878400000,,,,,,,,,,,,
1719879000000,,,,,,,,,,,,
1719879600000,,,,,,,,,,,,
1719880200000,,,,,,,,,,,,
1719880800000,7,4,3,43.85,30.44,21.8,20.9,63,30.44,121,0.7,220
1719881400000,7,4,3,43.37,29.75,21.9,20.8,63,29.75,121,0.7,220
1719882000000,7,4,3,43.29,29.3,22,20.6,62,29.3,120,0.7,219
1719882600000,7,4,3,43.15,29.04,21.7,20.5,62,29.04,120,0.7,219
1719883200000,7,4,3,43.15,29.12,21.8,20.5,62,29.12,120,0.7,219
1719883800000,7,4,3,42.66,29.09,21.8,20.4,62,29.09,119,0.7,218
1719884400000,7,4,3,42.53,29.05,21.8,20.4,62,29.05,119,0.7,218
1719885000000,7,4,3,42.27,28.97,21.8,20.3,62,28.97,119,0.7,218
1719885600000,7,4,3,42.19,28.95,22,20.3,62,28.95,119,0.7,218
1719886200000,7,4,3,42.75,29.17,21.9,20.3,62,29.17,119,0.7,218
1719886800000,7,4,3,43,29.79,21.8,20.5,62,29.79,120,0.7,219
1719887400000,7,4,3,42.7,29.94,22.1,20.7,62,29.94,120,0.7,219
1719888000000,7,4,3,42.63,29.98,21.8,20.7,63,29.98,121,0.7,220
1719888600000,7,4,3,42.35,30.11,21.8,20.8,63,30.11,121,0.7,220
1719889200000,7,4,3,41.95,29.95,21.9,20.8,63,29.95,121,0.7,220
1719889800000,7,4,3,41.58,29.72,21.8,20.7,63,29.72,121,0.7,220
1719890400000,7,4,3,41.05,29.46,21.9,20.6,62,29.46,120,0.7,219
1719891000000,7,4,3,40.84,29.21,22.1,20.5,62,29.21,120,0.7,219
1719891600000,7,4,3,40.77,29.09,21.6,20.4,62,29.09,119,0.7,218
1719892200000,7,4,3,40.45,28.98,21.9,20.3,62,28.98,119,0.7,218
1719892800000,7,4,3,40.17,28.66,22,20.2,62,28.66,119,0.7,218
1719893400000,7,4,3,40.19,28.65,21.9,20.1,62,28.65,119,0.7,218
1719894000000,7,4,3,39.87,28.4,21.7,20,61,28.4,119,0.6,217
1719894600000,7,4,3,39.51,28.13,21.9,19.9,61,28.13,119,0.6,217
1719895200000,7,4,3,39.45,27.78,21.8,19.8,61,27.78,118,0.6,216
1719895800000,7,4,3,39.38,27.53,21.7,19.6,61,27.53,118,0.6,216
1719896400000,7,4,3,39.19,27.37,21.9,19.5,61,27.37,118,0.6,216
1719897000000,7,4,3,39.08,27.16,21.7,19.4,60,27.16,118,0.6,215
1719897600000,7,4,3,39.01,26.91,21.8,19.3,60,26.91,118,0.6,215
1719898200000,7,4,3,39.01,26.79,22,19.1,60,26.79,117,0.6,214
1719898800000,7,4,3,39.75,26.67,22,19,60,26.67,118,0.6,215
1719899400000,7,4,3,40.02,26.4,21.7,18.9,60,26.4,118,0.6,215
1719900000000,7,4,3,40.23,26.13,21.9,18.8,60,26.13,118,0.6,215
1719900600000,7,4,3,40.38,25.91,21.9,18.7,60,25.91,118,0.6,215
1719901200000,7,4,3,40.55,25.74,21.9,18.6,60,25.74,117,0.6,214
1719901800000,7,4,3,40.65,25.6,21.9,18.4,60,25.6,117,0.6,214
1719902400000,7,4,3,40.81,25.5,22,18.4,60,25.5,117,0.6,214
1719903000000,7,4,3,40.9,25.42,22.1,18.3,60,25.42,117,0.6,214
1719903600000,7,4,3,41.04,25.36,21.9,18.2,60,25.36,117,0.6,214
1719904200000,7,4,3,40.88,25.28,21.9,18,59,25.28,117,0.6,213
1719904800000,7,4,3,40.96,25.16,21.9,18,59,25.16,117,0.6,213
1719905400000,7,4,3,41.05,25.04,22,17.9,59,25.04,117,0.6,213
1719906000000,7,4,3,41.09,24.93,21.8,17.7,59,24.93,117,0.6,213
1719906600000,7,4,3,41.1,24.85,21.9,17.6,59,24.85,116,0.5,212
1719907200000,7,4,3,41.15,24.74,22,17.5,59,24.74,116,0.5,212
1719907800000,7,4,3,41.18,24.72,22,17.4,59,24.72,116,0.5,212
1719908400000,7,4,3,41.15,24.65,21.9,17.3,59,24.65,116,0.5,212
1719909000000,7,4,3,41.27,24.59,22.1,17.2,59,24.59,116,0.5,211
1719909600000,7,4,3,41.3,24.55,22,17.1,59,24.55,116,0.5,211
1719910200000,7,4,3,41.43,24.51,22,17.1,59,24.51,116,0.5,211
1719910800000,7,4,3,41.46,24.52,21.9,17,59,24.52,116,0.5,211
1719911400000,7,4,3,41.53,24.5,22,16.9,59,24.5,116,0.5,211
1719912000000,7,4,3,41.54,24.48,22,16.9,59,24.48,116,0.5,211
1719912600000,7,4,3,41.56,24.45,22,16.8,59,24.45,116,0.5,211
1719913200000,7,4,3,41.52,24.39,22.1,16.8,58,24.39,115,0.5,210
1719913800000,7,4,3,41.54,24.33,22.2,16.7,58,24.33,115,0.5,210
1719914400000,7,4,3,41.5,24.27,22,16.7,58,24.27,115,0.5,210
1719915000000,7,4,3,41.29,24.18,21.8,16.5,58,24.18,115,0.5,210
1719915600000,7,4,3,41.33,24.11,21.9,16.5,58,24.11,115,0.5,210
1719916200000,7,4,3,41.23,24.06,22,16.4,58,24.06,114,0.5,209
1719916800000,7,4,3,41.18,24.04,21.9,16.3,58,24.04,114,0.5,209
1719917400000,7,4,3,41.2,24,22,16.2,58,24,114,0.5,209
1719918000000,7,4,3,41.23,23.99,21.9,16.2,58,23.99,114,0.5,209
1719918600000,7,4,3,41.21,23.93,22.1,16.1,58,23.93,114,0.5,209
1719919200000,7,4,3,41.03,23.89,22,16.1,57,23.89,114,0.4,208
1719919800000,7,4,3,40.92,23.85,22,16,57,23.85,114,0.4,208
1719920400000,7,4,3,41.07,23.84,22.1,16,57,23.84,114,0.4,208
1719921000000,7,4,3,40.99,23.84,21.9,15.9,57,23.84,114,0.4,208
1719921600000,7,4,3,41.04,23.82,21.9,15.9,57,23.82,114,0.4,208
1719922200000,7,4,3,40.92,23.79,21.8,15.9,57,23.79,114,0.4,208
1719922800000,7,4,3,40.99,23.76,22,15.9,57,23.76,114,0.4,208
1719923400000,7,4,3,40.89,23.75,22.1,15.8,57,23.75,114,0.4,208
1719924000000,7,4,3,40.86,23.71,22.1,15.8,57,23.71,113,0.4,207
1719924600000,7,4,3,40.9,23.71,22,15.8,57,23.71,113,0.4,207
1719925200000,7,4,3,40.84,23.7,22,15.7,57,23.7,113,0.4,207
1719925800000,7,4,3,41,23.71,22,15.7,57,23.71,113,0.4,207
1719926400000,7,4,3,41.07,23.73,22,15.7,57,23.73,113,0.4,207
1719927000000,7,4,3,40.96,23.72,22.1,15.7,57,23.72,113,0.4,207
1719927600000,7,4,3,40.94,23.66,22,15.7,57,23.66,113,0.4,207
1719928200000,7,4,3,40.94,23.61,21.9,15.6,57,23.61,113,0.4,207
1719928800000,7,4,3,40.95,23.6,22,15.6,57,23.6,113,0.4,207
1719929400000,7,4,3,40.97,23.58,21.9,15.6,57,23.58,113,0.4,207
1719930000000,7,4,3,40.94,23.55,22,15.5,57,23.55,113,0.4,207
1719930600000,7,4,3,40.91,23.53,22,15.5,57,23.53,113,0.4,207
1719931200000,7,4,3,40.94,23.52,22.1,15.5,57,23.52,113,0.4,207
1719931800000,7,4,3,41.07,23.53,22,15.5,57,23.53,113,0.4,207
1719932400000,7,4,3,41,23.52,22.1,15.5,57,23.52,113,0.4,207
1719933000000,7,4,3,41.03,23.55,22.1,15.5,57,23.55,113,0.4,207
1719933600000,7,4,3,40.95,23.48,22,15.5,57,23.48,113,0.4,207
1719934200000,7,4,3,40.98,23.43,21.9,15.4,56,23.43,113,0.4,206
1719934800000,7,4,3,40.9,23.37,22,15.4,56,23.37,113,0.4,206
1719935400000,7,4,3,40.94,23.28,22,15.3,56,23.28,113,0.4,206
1719936000000,7,4,3,40.96,23.27,21.9,15.3,56,23.27,113,0.4,206
1719936600000,7,4,3,41.13,23.23,22,15.3,56,23.23,113,0.4,206
1719937200000,7,4,3,41.07,23.2,22.1,15.2,56,23.2,113,0.4,206
1719937800000,7,4,3,40.77,23.02,22,15.2,56,23.02,113,0.4,206
1719938400000,7,4,3,40.79,22.93,22.1,15.1,56,22.93,113,0.4,206
1719939000000,7,4,3,40.65,22.84,22,15.1,56,22.84,113,0.4,206
1719939600000,7,4,3,40.68,22.76,22.1,14.9,56,22.76,112,0.4,205
1719940200000,7,4,3,40.6,22.68,21.9,14.8,56,22.68,112,0.4,205
1719940800000,7,4,3,40.69,22.65,22.1,14.8,56,22.65,112,0.4,205
1719941400000,7,4,3,40.81,22.62,22.1,14.8,56,22.62,112,0.4,205
1719942000000,7,4,3,40.86,22.63,22,14.7,56,22.63,112,0.4,205
1719942600000,7,4,3,40.82,22.61,21.9,14.7,56,22.61,112,0.4,205
1719943200000,7,4,3,40.73,22.55,22.1,14.7,56,22.55,112,0.4,205
1719943800000,7,4,3,40.72,22.55,22.1,14.6,56,22.55,112,0.4,205
1719944400000,7,4,3,40.76,22.55,22.1,14.6,55,22.55,112,0.4,204
1719945000000,7,4,3,40.85,22.55,21.9,14.6,55,22.55,112,0.4,204
1719945600000,7,4,3,40.8,22.55,22,14.6,55,22.55,112,0.4,204
1719946200000,7,4,3,40.71,22.51,22,14.5,55,22.51,112,0.4,204
1719946800000,7,4,3,40.7,22.45,22.1,14.5,55,22.45,112,0.4,204
1719947400000,7,4,3,40.64,22.37,22.1,14.5,55,22.37,112,0.4,204
1719948000000,7,4,3,40.52,22.3,22.1,14.4,55,22.3,112,0.4,204
1719948600000,7,4,3,40.25,22.2,22.1,14.4,55,22.2,112,0.4,204
1719949200000,7,4,3,40.31,22.12,22,14.4,55,22.12,111,0.3,203
1719949800000,7,4,3,40.33,22.63,22.2,14.4,55,22.63,111,0.3,203
1719950400000,7,4,3,40.27,23.29,22,14.6,55,23.29,112,0.4,204
1719951000000,7,4,3,40.21,23.84,22,14.8,55,23.84,112,0.4,204
1719951600000,7,4,3,40.17,24.26,22.1,15,56,24.26,112,0.4,205
1719952200000,7,4,3,40.01,24.61,22.1,15.2,56,24.61,112,0.4,205
1719952800000,7,4,3,39.88,24.87,22.1,15.4,56,24.87,112,0.4,205
