Time, Avg,Max,Min
14/8/2024 23:50,9.7,9.7,9.7
14/8/2024 23:55,9.7,9.8,9.7
15/8/2024 0:00,9.7,9.8,9.7
15/8/2024 0:05,9.7,9.8,9.7
15/8/2024 0:10,9.6,9.8,9.6
15/8/2024 0:15,9.7,9.9,9.7
15/8/2024 0:20,9.7,9.8,9.7
15/8/2024 0:25,9.7,9.8,9.7
15/8/2024 0:30,9.7,9.8,9.7
15/8/2024 0:35,9.7,9.8,9.7
15/8/2024 0:40,9.7,9.8,9.7
15/8/2024 0:45,9.7,9.8,9.7
15/8/2024 0:50,9.7,9.8,9.7
15/8/2024 0:55,9.7,9.8,9.7
15/8/2024 1:00,9.5,9.7,9.5
15/8/2024 1:05,9.6,9.7,9.6
15/8/2024 1:10,9.7,9.8,9.7
15/8/2024 1:15,9.7,9.9,9.7
15/8/2024 1:20,9.7,9.9,9.7
15/8/2024 1:25,9.7,9.8,9.7
15/8/2024 1:30,9.7,9.9,9.7
15/8/2024 1:35,9.5,9.9,9.5
15/8/2024 1:40,9.7,9.8,9.7
15/8/2024 1:45,9.7,9.9,9.7
15/8/2024 1:50,9.7,9.8,9.7
15/8/2024 1:55,9.7,9.8,9.7
15/8/2024 2:00,9.8,9.9,9.8
15/8/2024 2:05,9.7,9.8,9.7
15/8/2024 2:10,9.7,9.8,9.7
15/8/2024 2:15,9.8,9.8,9.8
15/8/2024 2:20,9.7,9.8,9.7
15/8/2024 2:25,9.8,9.9,9.8
15/8/2024 2:30,9.8,9.9,9.8
15/8/2024 2:35,9.7,9.9,9.7
15/8/2024 2:40,9.8,9.9,9.8
15/8/2024 2:45,9.8,9.8,9.8
15/8/2024 2:50,9.7,9.8,9.7
15/8/2024 2:55,9.7,9.8,9.7
15/8/2024 3:00,9.7,9.8,9.7
15/8/2024 3:05,9.7,9.8,9.7
15/8/2024 3:10,9.7,9.8,9.7
15/8/2024 3:15,9.6,9.8,9.6
15/8/2024 3:20,9.5,9.8,9.5
15/8/2024 3:25,9.6,9.8,9.6
15/8/2024 3:30,9.6,9.7,9.6
15/8/2024 3:35,9.6,9.7,9.6
